pair_id,pair_role,pair_type,unordered_entity_a,unordered_entity_b,label_a_to_b,label_b_to_a,student_entity,supervisor_entity,train_entity_1,train_entity_2,train_label,reverse_entity_1,reverse_entity_2,reverse_label,reverse_split
pair_000013,demo,supervision_edge,entity_0067,entity_0050,1,0,entity_0067,entity_0050,entity_0067,entity_0050,1,entity_0050,entity_0067,0,train
pair_000014,demo,supervision_edge,entity_0284,entity_0495,1,0,entity_0284,entity_0495,entity_0284,entity_0495,1,entity_0495,entity_0284,0,train
pair_000015,query,supervision_edge,entity_0259,entity_0325,1,0,entity_0259,entity_0325,entity_0259,entity_0325,1,entity_0325,entity_0259,0,test
pair_000016,query,supervision_edge,entity_0476,entity_0016,1,0,entity_0476,entity_0016,entity_0476,entity_0016,1,entity_0016,entity_0476,0,test
pair_000017,demo,supervision_edge,entity_0153,entity_0495,1,0,entity_0153,entity_0495,entity_0153,entity_0495,1,entity_0495,entity_0153,0,train
pair_000018,query,supervision_edge,entity_0342,entity_0060,1,0,entity_0342,entity_0060,entity_0060,entity_0342,0,entity_0342,entity_0060,1,test
pair_000019,query,supervision_edge,entity_0490,entity_0103,1,0,entity_0490,entity_0103,entity_0103,entity_0490,0,entity_0490,entity_0103,1,test
pair_000020,demo,supervision_edge,entity_0406,entity_0162,1,0,entity_0406,entity_0162,entity_0162,entity_0406,0,entity_0406,entity_0162,1,train
pair_000021,demo,supervision_edge,entity_0470,entity_0162,1,0,entity_0470,entity_0162,entity_0162,entity_0470,0,entity_0470,entity_0162,1,train
pair_000022,query,supervision_edge,entity_0245,entity_0354,1,0,entity_0245,entity_0354,entity_0354,entity_0245,0,entity_0245,entity_0354,1,test
pair_000023,demo,supervision_edge,entity_0397,entity_0133,1,0,entity_0397,entity_0133,entity_0397,entity_0133,1,entity_0133,entity_0397,0,train
pair_000024,demo,supervision_edge,entity_0443,entity_0430,1,0,entity_0443,entity_0430,entity_0430,entity_0443,0,entity_0443,entity_0430,1,train
pair_000025,demo,supervision_edge,entity_0308,entity_0201,1,0,entity_0308,entity_0201,entity_0308,entity_0201,1,entity_0201,entity_0308,0,train
pair_000026,demo,supervision_edge,entity_0098,entity_0185,1,0,entity_0098,entity_0185,entity_0185,entity_0098,0,entity_0098,entity_0185,1,train
pair_000027,query,supervision_edge,entity_0412,entity_0479,1,0,entity_0412,entity_0479,entity_0479,entity_0412,0,entity_0412,entity_0479,1,test
pair_000028,demo,supervision_edge,entity_0176,entity_0016,1,0,entity_0176,entity_0016,entity_0016,entity_0176,0,entity_0176,entity_0016,1,train
pair_000029,demo,supervision_edge,entity_0232,entity_0037,1,0,entity_0232,entity_0037,entity_0037,entity_0232,0,entity_0232,entity_0037,1,train
pair_000030,query,supervision_edge,entity_0129,entity_0131,1,0,entity_0129,entity_0131,entity_0131,entity_0129,0,entity_0129,entity_0131,1,test
pair_000031,demo,supervision_edge,entity_0005,entity_0138,1,0,entity_0005,entity_0138,entity_0005,entity_0138,1,entity_0138,entity_0005,0,train
pair_000032,query,supervision_edge,entity_0015,entity_0078,1,0,entity_0015,entity_0078,entity_0078,entity_0015,0,entity_0015,entity_0078,1,test
pair_000033,query,supervision_edge,entity_0163,entity_0423,1,0,entity_0163,entity_0423,entity_0163,entity_0423,1,entity_0423,entity_0163,0,test
pair_000034,query,supervision_edge,entity_0208,entity_0162,1,0,entity_0208,entity_0162,entity_0162,entity_0208,0,entity_0208,entity_0162,1,test
pair_000035,query,supervision_edge,entity_0298,entity_0475,1,0,entity_0298,entity_0475,entity_0475,entity_0298,0,entity_0298,entity_0475,1,test
pair_000036,query,supervision_edge,entity_0221,entity_0499,1,0,entity_0221,entity_0499,entity_0499,entity_0221,0,entity_0221,entity_0499,1,test
pair_000037,demo,supervision_edge,entity_0074,entity_0110,1,0,entity_0074,entity_0110,entity_0110,entity_0074,0,entity_0074,entity_0110,1,train
pair_000038,demo,supervision_edge,entity_0219,entity_0253,1,0,entity_0219,entity_0253,entity_0219,entity_0253,1,entity_0253,entity_0219,0,train
pair_000039,demo,supervision_edge,entity_0173,entity_0247,1,0,entity_0173,entity_0247,entity_0247,entity_0173,0,entity_0173,entity_0247,1,train
pair_000040,demo,supervision_edge,entity_0288,entity_0006,1,0,entity_0288,entity_0006,entity_0006,entity_0288,0,entity_0288,entity_0006,1,train
pair_000041,query,supervision_edge,entity_0379,entity_0076,1,0,entity_0379,entity_0076,entity_0379,entity_0076,1,entity_0076,entity_0379,0,test
pair_000042,demo,supervision_edge,entity_0391,entity_0438,1,0,entity_0391,entity_0438,entity_0438,entity_0391,0,entity_0391,entity_0438,1,train
pair_000043,demo,supervision_edge,entity_0302,entity_0059,1,0,entity_0302,entity_0059,entity_0302,entity_0059,1,entity_0059,entity_0302,0,train
pair_000044,query,supervision_edge,entity_0436,entity_0196,1,0,entity_0436,entity_0196,entity_0196,entity_0436,0,entity_0436,entity_0196,1,test
pair_000045,demo,supervision_edge,entity_0280,entity_0169,1,0,entity_0280,entity_0169,entity_0280,entity_0169,1,entity_0169,entity_0280,0,train
pair_000046,query,supervision_edge,entity_0124,entity_0421,1,0,entity_0124,entity_0421,entity_0124,entity_0421,1,entity_0421,entity_0124,0,test
pair_000047,demo,supervision_edge,entity_0363,entity_0483,1,0,entity_0363,entity_0483,entity_0363,entity_0483,1,entity_0483,entity_0363,0,train
pair_000048,demo,supervision_edge,entity_0463,entity_0115,1,0,entity_0463,entity_0115,entity_0115,entity_0463,0,entity_0463,entity_0115,1,train
pair_000049,query,supervision_edge,entity_0399,entity_0277,1,0,entity_0399,entity_0277,entity_0399,entity_0277,1,entity_0277,entity_0399,0,test
pair_000050,demo,supervision_edge,entity_0204,entity_0239,1,0,entity_0204,entity_0239,entity_0239,entity_0204,0,entity_0204,entity_0239,1,train
pair_000051,query,supervision_edge,entity_0246,entity_0339,1,0,entity_0246,entity_0339,entity_0246,entity_0339,1,entity_0339,entity_0246,0,test
pair_000052,query,supervision_edge,entity_0345,entity_0078,1,0,entity_0345,entity_0078,entity_0078,entity_0345,0,entity_0345,entity_0078,1,test
pair_000053,query,supervision_edge,entity_0197,entity_0398,1,0,entity_0197,entity_0398,entity_0197,entity_0398,1,entity_0398,entity_0197,0,test
pair_000054,demo,supervision_edge,entity_0411,entity_0229,1,0,entity_0411,entity_0229,entity_0229,entity_0411,0,entity_0411,entity_0229,1,train
pair_000055,query,supervision_edge,entity_0222,entity_0483,1,0,entity_0222,entity_0483,entity_0483,entity_0222,0,entity_0222,entity_0483,1,test
pair_000056,query,supervision_edge,entity_0005,entity_0339,1,0,entity_0005,entity_0339,entity_0339,entity_0005,0,entity_0005,entity_0339,1,test
pair_000057,query,supervision_edge,entity_0123,entity_0468,1,0,entity_0123,entity_0468,entity_0123,entity_0468,1,entity_0468,entity_0123,0,test
pair_000058,demo,supervision_edge,entity_0165,entity_0177,1,0,entity_0165,entity_0177,entity_0177,entity_0165,0,entity_0165,entity_0177,1,train
pair_000059,query,supervision_edge,entity_0320,entity_0325,1,0,entity_0320,entity_0325,entity_0325,entity_0320,0,entity_0320,entity_0325,1,test
pair_000060,query,supervision_edge,entity_0120,entity_0203,1,0,entity_0120,entity_0203,entity_0120,entity_0203,1,entity_0203,entity_0120,0,test
pair_000061,query,supervision_edge,entity_0424,entity_0109,1,0,entity_0424,entity_0109,entity_0424,entity_0109,1,entity_0109,entity_0424,0,test
pair_000062,demo,supervision_edge,entity_0291,entity_0457,1,0,entity_0291,entity_0457,entity_0291,entity_0457,1,entity_0457,entity_0291,0,train
pair_000063,query,supervision_edge,entity_0258,entity_0034,1,0,entity_0258,entity_0034,entity_0258,entity_0034,1,entity_0034,entity_0258,0,test
pair_000064,demo,supervision_edge,entity_0300,entity_0465,1,0,entity_0300,entity_0465,entity_0300,entity_0465,1,entity_0465,entity_0300,0,train
pair_000065,demo,supervision_edge,entity_0044,entity_0499,1,0,entity_0044,entity_0499,entity_0044,entity_0499,1,entity_0499,entity_0044,0,train
pair_000066,query,supervision_edge,entity_0108,entity_0077,1,0,entity_0108,entity_0077,entity_0077,entity_0108,0,entity_0108,entity_0077,1,test
pair_000067,query,supervision_edge,entity_0105,entity_0177,1,0,entity_0105,entity_0177,entity_0177,entity_0105,0,entity_0105,entity_0177,1,test
pair_000068,demo,supervision_edge,entity_0318,entity_0438,1,0,entity_0318,entity_0438,entity_0318,entity_0438,1,entity_0438,entity_0318,0,train
pair_000069,query,supervision_edge,entity_0137,entity_0474,1,0,entity_0137,entity_0474,entity_0474,entity_0137,0,entity_0137,entity_0474,1,test
pair_000070,query,supervision_edge,entity_0294,entity_0343,1,0,entity_0294,entity_0343,entity_0294,entity_0343,1,entity_0343,entity_0294,0,test
pair_000071,query,supervision_edge,entity_0222,entity_0076,1,0,entity_0222,entity_0076,entity_0222,entity_0076,1,entity_0076,entity_0222,0,test
pair_000072,demo,supervision_edge,entity_0428,entity_0339,1,0,entity_0428,entity_0339,entity_0339,entity_0428,0,entity_0428,entity_0339,1,train
pair_000073,query,supervision_edge,entity_0187,entity_0229,1,0,entity_0187,entity_0229,entity_0229,entity_0187,0,entity_0187,entity_0229,1,test
pair_000074,demo,supervision_edge,entity_0172,entity_0438,1,0,entity_0172,entity_0438,entity_0438,entity_0172,0,entity_0172,entity_0438,1,train
pair_000075,query,supervision_edge,entity_0204,entity_0252,1,0,entity_0204,entity_0252,entity_0252,entity_0204,0,entity_0204,entity_0252,1,test
pair_000076,query,supervision_edge,entity_0321,entity_0235,1,0,entity_0321,entity_0235,entity_0321,entity_0235,1,entity_0235,entity_0321,0,test
pair_000077,query,supervision_edge,entity_0371,entity_0054,1,0,entity_0371,entity_0054,entity_0371,entity_0054,1,entity_0054,entity_0371,0,test
pair_000078,demo,supervision_edge,entity_0121,entity_0109,1,0,entity_0121,entity_0109,entity_0121,entity_0109,1,entity_0109,entity_0121,0,train
pair_000079,demo,supervision_edge,entity_0265,entity_0185,1,0,entity_0265,entity_0185,entity_0185,entity_0265,0,entity_0265,entity_0185,1,train
pair_000080,demo,supervision_edge,entity_0017,entity_0430,1,0,entity_0017,entity_0430,entity_0017,entity_0430,1,entity_0430,entity_0017,0,train
pair_000081,demo,supervision_edge,entity_0136,entity_0001,1,0,entity_0136,entity_0001,entity_0001,entity_0136,0,entity_0136,entity_0001,1,train
pair_000082,query,supervision_edge,entity_0384,entity_0430,1,0,entity_0384,entity_0430,entity_0430,entity_0384,0,entity_0384,entity_0430,1,test
pair_000083,demo,supervision_edge,entity_0184,entity_0037,1,0,entity_0184,entity_0037,entity_0184,entity_0037,1,entity_0037,entity_0184,0,train
pair_000084,query,supervision_edge,entity_0473,entity_0372,1,0,entity_0473,entity_0372,entity_0473,entity_0372,1,entity_0372,entity_0473,0,test
pair_000085,demo,supervision_edge,entity_0490,entity_0247,1,0,entity_0490,entity_0247,entity_0247,entity_0490,0,entity_0490,entity_0247,1,train
pair_000086,query,supervision_edge,entity_0493,entity_0479,1,0,entity_0493,entity_0479,entity_0493,entity_0479,1,entity_0479,entity_0493,0,test
pair_000087,query,supervision_edge,entity_0431,entity_0495,1,0,entity_0431,entity_0495,entity_0495,entity_0431,0,entity_0431,entity_0495,1,test
pair_000088,query,supervision_edge,entity_0454,entity_0138,1,0,entity_0454,entity_0138,entity_0454,entity_0138,1,entity_0138,entity_0454,0,test
pair_000089,demo,supervision_edge,entity_0392,entity_0138,1,0,entity_0392,entity_0138,entity_0392,entity_0138,1,entity_0138,entity_0392,0,train
pair_000090,query,supervision_edge,entity_0364,entity_0041,1,0,entity_0364,entity_0041,entity_0364,entity_0041,1,entity_0041,entity_0364,0,test
pair_000091,query,supervision_edge,entity_0270,entity_0026,1,0,entity_0270,entity_0026,entity_0270,entity_0026,1,entity_0026,entity_0270,0,test
pair_000092,demo,supervision_edge,entity_0345,entity_0214,1,0,entity_0345,entity_0214,entity_0345,entity_0214,1,entity_0214,entity_0345,0,train
pair_000093,demo,supervision_edge,entity_0425,entity_0353,1,0,entity_0425,entity_0353,entity_0353,entity_0425,0,entity_0425,entity_0353,1,train
pair_000094,demo,supervision_edge,entity_0224,entity_0227,1,0,entity_0224,entity_0227,entity_0227,entity_0224,0,entity_0224,entity_0227,1,train
pair_000095,demo,supervision_edge,entity_0145,entity_0385,1,0,entity_0145,entity_0385,entity_0385,entity_0145,0,entity_0145,entity_0385,1,train
pair_000096,demo,supervision_edge,entity_0141,entity_0316,1,0,entity_0141,entity_0316,entity_0316,entity_0141,0,entity_0141,entity_0316,1,train
pair_000097,demo,supervision_edge,entity_0051,entity_0273,1,0,entity_0051,entity_0273,entity_0273,entity_0051,0,entity_0051,entity_0273,1,train
pair_000098,query,supervision_edge,entity_0305,entity_0247,1,0,entity_0305,entity_0247,entity_0247,entity_0305,0,entity_0305,entity_0247,1,test
pair_000099,query,supervision_edge,entity_0274,entity_0001,1,0,entity_0274,entity_0001,entity_0001,entity_0274,0,entity_0274,entity_0001,1,test
pair_000100,demo,supervision_edge,entity_0361,entity_0427,1,0,entity_0361,entity_0427,entity_0361,entity_0427,1,entity_0427,entity_0361,0,train
pair_000101,query,supervision_edge,entity_0279,entity_0239,1,0,entity_0279,entity_0239,entity_0279,entity_0239,1,entity_0239,entity_0279,0,test
pair_000102,query,supervision_edge,entity_0350,entity_0343,1,0,entity_0350,entity_0343,entity_0350,entity_0343,1,entity_0343,entity_0350,0,test
pair_000103,query,supervision_edge,entity_0263,entity_0277,1,0,entity_0263,entity_0277,entity_0263,entity_0277,1,entity_0277,entity_0263,0,test
pair_000104,query,supervision_edge,entity_0128,entity_0078,1,0,entity_0128,entity_0078,entity_0128,entity_0078,1,entity_0078,entity_0128,0,test
pair_000105,query,supervision_edge,entity_0122,entity_0199,1,0,entity_0122,entity_0199,entity_0199,entity_0122,0,entity_0122,entity_0199,1,test
pair_000106,demo,supervision_edge,entity_0155,entity_0372,1,0,entity_0155,entity_0372,entity_0155,entity_0372,1,entity_0372,entity_0155,0,train
pair_000107,demo,supervision_edge,entity_0056,entity_0499,1,0,entity_0056,entity_0499,entity_0499,entity_0056,0,entity_0056,entity_0499,1,train
pair_000108,demo,supervision_edge,entity_0104,entity_0235,1,0,entity_0104,entity_0235,entity_0235,entity_0104,0,entity_0104,entity_0235,1,train
pair_000109,query,supervision_edge,entity_0338,entity_0156,1,0,entity_0338,entity_0156,entity_0156,entity_0338,0,entity_0338,entity_0156,1,test
pair_000110,demo,supervision_edge,entity_0082,entity_0483,1,0,entity_0082,entity_0483,entity_0082,entity_0483,1,entity_0483,entity_0082,0,train
pair_000111,query,supervision_edge,entity_0216,entity_0467,1,0,entity_0216,entity_0467,entity_0216,entity_0467,1,entity_0467,entity_0216,0,test
pair_000112,query,supervision_edge,entity_0351,entity_0352,1,0,entity_0351,entity_0352,entity_0351,entity_0352,1,entity_0352,entity_0351,0,test
pair_000113,demo,supervision_edge,entity_0280,entity_0427,1,0,entity_0280,entity_0427,entity_0427,entity_0280,0,entity_0280,entity_0427,1,train
pair_000114,demo,supervision_edge,entity_0434,entity_0034,1,0,entity_0434,entity_0034,entity_0434,entity_0034,1,entity_0034,entity_0434,0,train
pair_000115,query,supervision_edge,entity_0320,entity_0199,1,0,entity_0320,entity_0199,entity_0199,entity_0320,0,entity_0320,entity_0199,1,test
pair_000116,query,supervision_edge,entity_0215,entity_0191,1,0,entity_0215,entity_0191,entity_0191,entity_0215,0,entity_0215,entity_0191,1,test
pair_000117,query,supervision_edge,entity_0094,entity_0110,1,0,entity_0094,entity_0110,entity_0094,entity_0110,1,entity_0110,entity_0094,0,test
pair_000118,demo,supervision_edge,entity_0019,entity_0495,1,0,entity_0019,entity_0495,entity_0495,entity_0019,0,entity_0019,entity_0495,1,train
pair_000119,query,supervision_edge,entity_0125,entity_0220,1,0,entity_0125,entity_0220,entity_0220,entity_0125,0,entity_0125,entity_0220,1,test
pair_000120,query,supervision_edge,entity_0287,entity_0023,1,0,entity_0287,entity_0023,entity_0287,entity_0023,1,entity_0023,entity_0287,0,test
pair_000121,demo,supervision_edge,entity_0415,entity_0177,1,0,entity_0415,entity_0177,entity_0177,entity_0415,0,entity_0415,entity_0177,1,train
pair_000122,demo,supervision_edge,entity_0161,entity_0438,1,0,entity_0161,entity_0438,entity_0438,entity_0161,0,entity_0161,entity_0438,1,train
pair_000123,query,supervision_edge,entity_0356,entity_0373,1,0,entity_0356,entity_0373,entity_0356,entity_0373,1,entity_0373,entity_0356,0,test
pair_000124,demo,supervision_edge,entity_0108,entity_0441,1,0,entity_0108,entity_0441,entity_0441,entity_0108,0,entity_0108,entity_0441,1,train
pair_000125,demo,supervision_edge,entity_0256,entity_0078,1,0,entity_0256,entity_0078,entity_0256,entity_0078,1,entity_0078,entity_0256,0,train
pair_000126,demo,supervision_edge,entity_0193,entity_0423,1,0,entity_0193,entity_0423,entity_0423,entity_0193,0,entity_0193,entity_0423,1,train
pair_000127,demo,supervision_edge,entity_0451,entity_0444,1,0,entity_0451,entity_0444,entity_0451,entity_0444,1,entity_0444,entity_0451,0,train
pair_000128,demo,supervision_edge,entity_0337,entity_0496,1,0,entity_0337,entity_0496,entity_0496,entity_0337,0,entity_0337,entity_0496,1,train
pair_000129,demo,supervision_edge,entity_0340,entity_0398,1,0,entity_0340,entity_0398,entity_0340,entity_0398,1,entity_0398,entity_0340,0,train
pair_000130,query,supervision_edge,entity_0165,entity_0034,1,0,entity_0165,entity_0034,entity_0034,entity_0165,0,entity_0165,entity_0034,1,test
pair_000131,query,supervision_edge,entity_0052,entity_0496,1,0,entity_0052,entity_0496,entity_0052,entity_0496,1,entity_0496,entity_0052,0,test
pair_000132,query,supervision_edge,entity_0195,entity_0126,1,0,entity_0195,entity_0126,entity_0195,entity_0126,1,entity_0126,entity_0195,0,test
pair_000133,demo,supervision_edge,entity_0246,entity_0464,1,0,entity_0246,entity_0464,entity_0246,entity_0464,1,entity_0464,entity_0246,0,train
pair_000134,demo,supervision_edge,entity_0184,entity_0115,1,0,entity_0184,entity_0115,entity_0115,entity_0184,0,entity_0184,entity_0115,1,train
pair_000135,query,supervision_edge,entity_0038,entity_0214,1,0,entity_0038,entity_0214,entity_0214,entity_0038,0,entity_0038,entity_0214,1,test
pair_000136,query,supervision_edge,entity_0251,entity_0467,1,0,entity_0251,entity_0467,entity_0467,entity_0251,0,entity_0251,entity_0467,1,test
pair_000137,demo,supervision_edge,entity_0362,entity_0488,1,0,entity_0362,entity_0488,entity_0488,entity_0362,0,entity_0362,entity_0488,1,train
pair_000138,query,supervision_edge,entity_0281,entity_0020,1,0,entity_0281,entity_0020,entity_0020,entity_0281,0,entity_0281,entity_0020,1,test
pair_000139,demo,supervision_edge,entity_0207,entity_0331,1,0,entity_0207,entity_0331,entity_0207,entity_0331,1,entity_0331,entity_0207,0,train
pair_000140,query,supervision_edge,entity_0223,entity_0214,1,0,entity_0223,entity_0214,entity_0223,entity_0214,1,entity_0214,entity_0223,0,test
pair_000141,demo,supervision_edge,entity_0113,entity_0385,1,0,entity_0113,entity_0385,entity_0385,entity_0113,0,entity_0113,entity_0385,1,train
pair_000142,query,supervision_edge,entity_0042,entity_0475,1,0,entity_0042,entity_0475,entity_0042,entity_0475,1,entity_0475,entity_0042,0,test
pair_000143,query,supervision_edge,entity_0315,entity_0352,1,0,entity_0315,entity_0352,entity_0352,entity_0315,0,entity_0315,entity_0352,1,test
pair_000144,query,supervision_edge,entity_0375,entity_0066,1,0,entity_0375,entity_0066,entity_0066,entity_0375,0,entity_0375,entity_0066,1,test
pair_000145,query,supervision_edge,entity_0425,entity_0239,1,0,entity_0425,entity_0239,entity_0239,entity_0425,0,entity_0425,entity_0239,1,test
pair_000146,query,supervision_edge,entity_0236,entity_0054,1,0,entity_0236,entity_0054,entity_0054,entity_0236,0,entity_0236,entity_0054,1,test
pair_000147,query,supervision_edge,entity_0461,entity_0398,1,0,entity_0461,entity_0398,entity_0461,entity_0398,1,entity_0398,entity_0461,0,test
pair_000148,demo,supervision_edge,entity_0148,entity_0457,1,0,entity_0148,entity_0457,entity_0148,entity_0457,1,entity_0457,entity_0148,0,train
pair_000149,query,supervision_edge,entity_0014,entity_0496,1,0,entity_0014,entity_0496,entity_0496,entity_0014,0,entity_0014,entity_0496,1,test
pair_000150,query,supervision_edge,entity_0272,entity_0162,1,0,entity_0272,entity_0162,entity_0162,entity_0272,0,entity_0272,entity_0162,1,test
pair_000151,query,supervision_edge,entity_0090,entity_0468,1,0,entity_0090,entity_0468,entity_0468,entity_0090,0,entity_0090,entity_0468,1,test
pair_000152,query,supervision_edge,entity_0397,entity_0020,1,0,entity_0397,entity_0020,entity_0397,entity_0020,1,entity_0020,entity_0397,0,test
pair_000153,demo,supervision_edge,entity_0317,entity_0444,1,0,entity_0317,entity_0444,entity_0444,entity_0317,0,entity_0317,entity_0444,1,train
pair_000154,query,supervision_edge,entity_0073,entity_0372,1,0,entity_0073,entity_0372,entity_0372,entity_0073,0,entity_0073,entity_0372,1,test
pair_000155,demo,supervision_edge,entity_0080,entity_0059,1,0,entity_0080,entity_0059,entity_0080,entity_0059,1,entity_0059,entity_0080,0,train
pair_000156,demo,supervision_edge,entity_0359,entity_0037,1,0,entity_0359,entity_0037,entity_0359,entity_0037,1,entity_0037,entity_0359,0,train
pair_000157,query,supervision_edge,entity_0188,entity_0334,1,0,entity_0188,entity_0334,entity_0188,entity_0334,1,entity_0334,entity_0188,0,test
pair_000158,query,supervision_edge,entity_0086,entity_0205,1,0,entity_0086,entity_0205,entity_0086,entity_0205,1,entity_0205,entity_0086,0,test
pair_000159,demo,supervision_edge,entity_0357,entity_0077,1,0,entity_0357,entity_0077,entity_0077,entity_0357,0,entity_0357,entity_0077,1,train
pair_000160,query,supervision_edge,entity_0093,entity_0423,1,0,entity_0093,entity_0423,entity_0423,entity_0093,0,entity_0093,entity_0423,1,test
pair_000161,query,supervision_edge,entity_0271,entity_0464,1,0,entity_0271,entity_0464,entity_0271,entity_0464,1,entity_0464,entity_0271,0,test
pair_000162,demo,supervision_edge,entity_0416,entity_0003,1,0,entity_0416,entity_0003,entity_0416,entity_0003,1,entity_0003,entity_0416,0,train
pair_000163,demo,supervision_edge,entity_0223,entity_0483,1,0,entity_0223,entity_0483,entity_0483,entity_0223,0,entity_0223,entity_0483,1,train
pair_000164,demo,supervision_edge,entity_0094,entity_0034,1,0,entity_0094,entity_0034,entity_0034,entity_0094,0,entity_0094,entity_0034,1,train
pair_000165,demo,supervision_edge,entity_0171,entity_0016,1,0,entity_0171,entity_0016,entity_0171,entity_0016,1,entity_0016,entity_0171,0,train
pair_000166,query,supervision_edge,entity_0450,entity_0438,1,0,entity_0450,entity_0438,entity_0438,entity_0450,0,entity_0450,entity_0438,1,test
pair_000167,demo,supervision_edge,entity_0200,entity_0483,1,0,entity_0200,entity_0483,entity_0200,entity_0483,1,entity_0483,entity_0200,0,train
pair_000168,query,supervision_edge,entity_0065,entity_0253,1,0,entity_0065,entity_0253,entity_0065,entity_0253,1,entity_0253,entity_0065,0,test
pair_000169,query,supervision_edge,entity_0147,entity_0334,1,0,entity_0147,entity_0334,entity_0334,entity_0147,0,entity_0147,entity_0334,1,test
pair_000170,demo,supervision_edge,entity_0017,entity_0156,1,0,entity_0017,entity_0156,entity_0017,entity_0156,1,entity_0156,entity_0017,0,train
pair_000171,query,supervision_edge,entity_0090,entity_0016,1,0,entity_0090,entity_0016,entity_0090,entity_0016,1,entity_0016,entity_0090,0,test
pair_000172,query,supervision_edge,entity_0344,entity_0401,1,0,entity_0344,entity_0401,entity_0344,entity_0401,1,entity_0401,entity_0344,0,test
pair_000173,demo,supervision_edge,entity_0238,entity_0076,1,0,entity_0238,entity_0076,entity_0076,entity_0238,0,entity_0238,entity_0076,1,train
pair_000174,query,supervision_edge,entity_0129,entity_0398,1,0,entity_0129,entity_0398,entity_0129,entity_0398,1,entity_0398,entity_0129,0,test
pair_000175,query,supervision_edge,entity_0336,entity_0109,1,0,entity_0336,entity_0109,entity_0336,entity_0109,1,entity_0109,entity_0336,0,test
pair_000176,demo,supervision_edge,entity_0300,entity_0252,1,0,entity_0300,entity_0252,entity_0252,entity_0300,0,entity_0300,entity_0252,1,train
pair_000177,demo,supervision_edge,entity_0358,entity_0427,1,0,entity_0358,entity_0427,entity_0427,entity_0358,0,entity_0358,entity_0427,1,train
pair_000178,query,supervision_edge,entity_0088,entity_0496,1,0,entity_0088,entity_0496,entity_0496,entity_0088,0,entity_0088,entity_0496,1,test
pair_000179,demo,supervision_edge,entity_0212,entity_0060,1,0,entity_0212,entity_0060,entity_0212,entity_0060,1,entity_0060,entity_0212,0,train
pair_000180,demo,supervision_edge,entity_0233,entity_0162,1,0,entity_0233,entity_0162,entity_0162,entity_0233,0,entity_0233,entity_0162,1,train
pair_000181,demo,supervision_edge,entity_0336,entity_0438,1,0,entity_0336,entity_0438,entity_0438,entity_0336,0,entity_0336,entity_0438,1,train
pair_000182,demo,supervision_edge,entity_0164,entity_0060,1,0,entity_0164,entity_0060,entity_0164,entity_0060,1,entity_0060,entity_0164,0,train
pair_000183,demo,supervision_edge,entity_0072,entity_0203,1,0,entity_0072,entity_0203,entity_0072,entity_0203,1,entity_0203,entity_0072,0,train
pair_000184,query,supervision_edge,entity_0295,entity_0474,1,0,entity_0295,entity_0474,entity_0295,entity_0474,1,entity_0474,entity_0295,0,test
pair_000185,query,supervision_edge,entity_0283,entity_0488,1,0,entity_0283,entity_0488,entity_0283,entity_0488,1,entity_0488,entity_0283,0,test
pair_000186,query,supervision_edge,entity_0084,entity_0427,1,0,entity_0084,entity_0427,entity_0427,entity_0084,0,entity_0084,entity_0427,1,test
pair_000187,query,supervision_edge,entity_0297,entity_0331,1,0,entity_0297,entity_0331,entity_0297,entity_0331,1,entity_0331,entity_0297,0,test
