edge_id,student_entity,supervisor_entity
edge_000146,entity_0087,entity_0439
edge_000147,entity_0490,entity_0103
edge_000148,entity_0323,entity_0427
edge_000149,entity_0202,entity_0185
edge_000150,entity_0019,entity_0495
edge_000151,entity_0310,entity_0169
edge_000152,entity_0010,entity_0398
edge_000153,entity_0204,entity_0239
edge_000154,entity_0221,entity_0453
edge_000155,entity_0039,entity_0352
edge_000156,entity_0030,entity_0177
edge_000157,entity_0458,entity_0050
edge_000158,entity_0481,entity_0131
edge_000159,entity_0013,entity_0037
edge_000160,entity_0116,entity_0026
edge_000161,entity_0466,entity_0020
edge_000162,entity_0117,entity_0479
edge_000163,entity_0452,entity_0385
edge_000164,entity_0306,entity_0353
edge_000165,entity_0445,entity_0115
edge_000166,entity_0080,entity_0169
edge_000167,entity_0267,entity_0373
edge_000168,entity_0303,entity_0421
edge_000169,entity_0330,entity_0421
edge_000170,entity_0378,entity_0037
edge_000171,entity_0216,entity_0325
edge_000172,entity_0231,entity_0162
edge_000173,entity_0047,entity_0401
edge_000174,entity_0155,entity_0006
edge_000175,entity_0223,entity_0214
edge_000176,entity_0178,entity_0026
edge_000177,entity_0293,entity_0006
edge_000178,entity_0128,entity_0078
edge_000179,entity_0044,entity_0201
edge_000180,entity_0095,entity_0070
edge_000181,entity_0309,entity_0439
edge_000182,entity_0287,entity_0475
edge_000183,entity_0184,entity_0115
edge_000184,entity_0264,entity_0248
edge_000185,entity_0038,entity_0273
edge_000186,entity_0165,entity_0177
edge_000187,entity_0285,entity_0001
edge_000188,entity_0208,entity_0162
edge_000189,entity_0435,entity_0496
edge_000190,entity_0261,entity_0075
edge_000191,entity_0004,entity_0041
edge_000192,entity_0360,entity_0026
edge_000193,entity_0313,entity_0227
edge_000194,entity_0459,entity_0413
edge_000195,entity_0237,entity_0477
edge_000196,entity_0036,entity_0199
edge_000197,entity_0120,entity_0203
edge_000198,entity_0455,entity_0467
edge_000199,entity_0356,entity_0373
edge_000200,entity_0470,entity_0162
edge_000201,entity_0032,entity_0468
edge_000202,entity_0447,entity_0354
edge_000203,entity_0291,entity_0457
edge_000204,entity_0056,entity_0423
edge_000205,entity_0462,entity_0006
edge_000206,entity_0429,entity_0477
edge_000207,entity_0092,entity_0444
edge_000208,entity_0341,entity_0214
edge_000209,entity_0476,entity_0398
edge_000210,entity_0067,entity_0343
edge_000211,entity_0409,entity_0401
edge_000212,entity_0053,entity_0169
edge_000213,entity_0128,entity_0110
edge_000214,entity_0411,entity_0229
edge_000215,entity_0263,entity_0444
edge_000216,entity_0048,entity_0115
edge_000217,entity_0410,entity_0115
edge_000218,entity_0345,entity_0078
edge_000219,entity_0062,entity_0169
edge_000220,entity_0242,entity_0401
edge_000221,entity_0207,entity_0331
edge_000222,entity_0183,entity_0003
edge_000223,entity_0206,entity_0060
edge_000224,entity_0390,entity_0020
edge_000225,entity_0403,entity_0003
edge_000226,entity_0486,entity_0006
edge_000227,entity_0134,entity_0162
edge_000228,entity_0405,entity_0475
edge_000229,entity_0030,entity_0334
edge_000230,entity_0165,entity_0034
edge_000231,entity_0021,entity_0041
edge_000232,entity_0416,entity_0003
edge_000233,entity_0210,entity_0115
edge_000234,entity_0424,entity_0034
edge_000235,entity_0289,entity_0201
edge_000236,entity_0015,entity_0078
edge_000237,entity_0309,entity_0109
edge_000238,entity_0074,entity_0162
edge_000239,entity_0245,entity_0354
edge_000240,entity_0255,entity_0191
edge_000241,entity_0035,entity_0209
edge_000242,entity_0383,entity_0468
edge_000243,entity_0029,entity_0430
edge_000244,entity_0173,entity_0247
edge_000245,entity_0005,entity_0339
edge_000246,entity_0458,entity_0465
edge_000247,entity_0355,entity_0026
edge_000248,entity_0225,entity_0444
edge_000249,entity_0143,entity_0413
edge_000250,entity_0492,entity_0468
edge_000251,entity_0136,entity_0001
edge_000252,entity_0460,entity_0109
edge_000253,entity_0498,entity_0373
edge_000254,entity_0366,entity_0229
edge_000255,entity_0329,entity_0252
edge_000256,entity_0452,entity_0401
edge_000257,entity_0433,entity_0440
edge_000258,entity_0069,entity_0257
edge_000259,entity_0096,entity_0220
edge_000260,entity_0083,entity_0464
edge_000261,entity_0449,entity_0440
edge_000262,entity_0151,entity_0474
edge_000263,entity_0065,entity_0322
edge_000264,entity_0218,entity_0467
edge_000265,entity_0245,entity_0441
edge_000266,entity_0261,entity_0286
edge_000267,entity_0065,entity_0253
edge_000268,entity_0275,entity_0026
edge_000269,entity_0104,entity_0353
edge_000270,entity_0358,entity_0439
edge_000271,entity_0428,entity_0339
edge_000272,entity_0246,entity_0339
edge_000273,entity_0368,entity_0201
edge_000274,entity_0412,entity_0479
edge_000275,entity_0274,entity_0253
edge_000276,entity_0298,entity_0475
edge_000277,entity_0317,entity_0444
edge_000278,entity_0304,entity_0413
edge_000279,entity_0318,entity_0438
edge_000280,entity_0321,entity_0235
edge_000281,entity_0297,entity_0465
edge_000282,entity_0111,entity_0001
edge_000283,entity_0163,entity_0423
edge_000284,entity_0224,entity_0227
edge_000285,entity_0119,entity_0239
edge_000286,entity_0280,entity_0169
edge_000287,entity_0402,entity_0126
edge_000288,entity_0326,entity_0006
edge_000289,entity_0243,entity_0078
edge_000290,entity_0033,entity_0020
edge_000291,entity_0482,entity_0177
edge_000292,entity_0160,entity_0023
edge_000293,entity_0213,entity_0209
edge_000294,entity_0105,entity_0177
edge_000295,entity_0025,entity_0423
edge_000296,entity_0171,entity_0016
edge_000297,entity_0086,entity_0205
edge_000298,entity_0451,entity_0417
edge_000299,entity_0012,entity_0273
edge_000300,entity_0443,entity_0430
edge_000301,entity_0302,entity_0059
edge_000302,entity_0382,entity_0496
edge_000303,entity_0418,entity_0339
edge_000304,entity_0071,entity_0201
edge_000305,entity_0011,entity_0037
edge_000306,entity_0240,entity_0227
edge_000307,entity_0244,entity_0483
edge_000308,entity_0461,entity_0398
edge_000309,entity_0364,entity_0041
edge_000310,entity_0361,entity_0453
edge_000311,entity_0147,entity_0334
edge_000312,entity_0121,entity_0109
edge_000313,entity_0299,entity_0227
edge_000314,entity_0164,entity_0060
edge_000315,entity_0263,entity_0277
edge_000316,entity_0074,entity_0110
edge_000317,entity_0484,entity_0003
edge_000318,entity_0208,entity_0169
edge_000319,entity_0497,entity_0479
edge_000320,entity_0082,entity_0483
edge_000321,entity_0344,entity_0439
edge_000322,entity_0419,entity_0077
edge_000323,entity_0186,entity_0023
edge_000324,entity_0270,entity_0026
edge_000325,entity_0198,entity_0239
edge_000326,entity_0033,entity_0227
edge_000327,entity_0123,entity_0468
edge_000328,entity_0043,entity_0339
edge_000329,entity_0099,entity_0427
edge_000330,entity_0008,entity_0001
edge_000331,entity_0349,entity_0006
edge_000332,entity_0462,entity_0354
edge_000333,entity_0234,entity_0273
edge_000334,entity_0189,entity_0475
edge_000335,entity_0232,entity_0037
edge_000336,entity_0393,entity_0103
edge_000337,entity_0118,entity_0495
edge_000338,entity_0497,entity_0059
edge_000339,entity_0388,entity_0253
edge_000340,entity_0358,entity_0427
edge_000341,entity_0422,entity_0201
edge_000342,entity_0485,entity_0209
edge_000343,entity_0367,entity_0421
edge_000344,entity_0017,entity_0430
edge_000345,entity_0264,entity_0257
edge_000346,entity_0280,entity_0427
edge_000347,entity_0194,entity_0413
edge_000348,entity_0038,entity_0214
edge_000349,entity_0184,entity_0037
edge_000350,entity_0121,entity_0439
edge_000351,entity_0088,entity_0496
edge_000352,entity_0168,entity_0059
edge_000353,entity_0392,entity_0138
edge_000354,entity_0219,entity_0277
edge_000355,entity_0200,entity_0483
edge_000356,entity_0346,entity_0252
edge_000357,entity_0397,entity_0020
edge_000358,entity_0046,entity_0253
edge_000359,entity_0218,entity_0003
edge_000360,entity_0419,entity_0464
edge_000361,entity_0254,entity_0077
edge_000362,entity_0141,entity_0316
edge_000363,entity_0350,entity_0205
edge_000364,entity_0371,entity_0054
edge_000365,entity_0262,entity_0177
edge_000366,entity_0226,entity_0156
edge_000367,entity_0269,entity_0037
edge_000368,entity_0040,entity_0372
edge_000369,entity_0130,entity_0131
edge_000370,entity_0363,entity_0483
edge_000371,entity_0407,entity_0401
edge_000372,entity_0351,entity_0352
edge_000373,entity_0161,entity_0401
edge_000374,entity_0101,entity_0169
edge_000375,entity_0434,entity_0034
edge_000376,entity_0335,entity_0089
edge_000377,entity_0328,entity_0209
edge_000378,entity_0340,entity_0398
edge_000379,entity_0172,entity_0438
edge_000380,entity_0258,entity_0034
edge_000381,entity_0272,entity_0138
edge_000382,entity_0217,entity_0483
edge_000383,entity_0375,entity_0066
edge_000384,entity_0175,entity_0353
edge_000385,entity_0300,entity_0465
edge_000386,entity_0137,entity_0474
edge_000387,entity_0168,entity_0229
edge_000388,entity_0153,entity_0495
edge_000389,entity_0347,entity_0339
edge_000390,entity_0284,entity_0495
edge_000391,entity_0300,entity_0252
edge_000392,entity_0370,entity_0421
edge_000393,entity_0161,entity_0438
edge_000394,entity_0262,entity_0133
edge_000395,entity_0147,entity_0398
edge_000396,entity_0384,entity_0474
edge_000397,entity_0374,entity_0477
edge_000398,entity_0053,entity_0003
edge_000399,entity_0157,entity_0322
edge_000400,entity_0129,entity_0398
edge_000401,entity_0164,entity_0417
edge_000402,entity_0350,entity_0343
edge_000403,entity_0298,entity_0438
edge_000404,entity_0174,entity_0016
edge_000405,entity_0256,entity_0078
edge_000406,entity_0112,entity_0488
edge_000407,entity_0031,entity_0185
edge_000408,entity_0127,entity_0252
edge_000409,entity_0022,entity_0026
edge_000410,entity_0404,entity_0191
edge_000411,entity_0276,entity_0103
edge_000412,entity_0084,entity_0427
edge_000413,entity_0278,entity_0016
edge_000414,entity_0471,entity_0464
edge_000415,entity_0149,entity_0427
edge_000416,entity_0155,entity_0372
edge_000417,entity_0238,entity_0474
edge_000418,entity_0442,entity_0220
edge_000419,entity_0389,entity_0430
edge_000420,entity_0431,entity_0495
edge_000421,entity_0192,entity_0199
edge_000422,entity_0478,entity_0133
edge_000423,entity_0150,entity_0413
edge_000424,entity_0384,entity_0430
edge_000425,entity_0275,entity_0050
edge_000426,entity_0461,entity_0060
edge_000427,entity_0055,entity_0107
edge_000428,entity_0014,entity_0496
edge_000429,entity_0295,entity_0474
edge_000430,entity_0079,entity_0439
edge_000431,entity_0127,entity_0227
edge_000432,entity_0036,entity_0339
edge_000433,entity_0429,entity_0034
edge_000434,entity_0246,entity_0464
edge_000435,entity_0380,entity_0203
edge_000436,entity_0337,entity_0496
edge_000437,entity_0344,entity_0401
edge_000438,entity_0100,entity_0110
edge_000439,entity_0333,entity_0496
edge_000440,entity_0224,entity_0177
edge_000441,entity_0217,entity_0156
edge_000442,entity_0064,entity_0070
edge_000443,entity_0377,entity_0059
edge_000444,entity_0236,entity_0054
edge_000445,entity_0302,entity_0441
edge_000446,entity_0222,entity_0076
edge_000447,entity_0219,entity_0253
edge_000448,entity_0005,entity_0138
edge_000449,entity_0367,entity_0140
edge_000450,entity_0447,entity_0185
edge_000451,entity_0425,entity_0353
edge_000452,entity_0333,entity_0199
edge_000453,entity_0336,entity_0109
edge_000454,entity_0181,entity_0468
edge_000455,entity_0142,entity_0050
edge_000456,entity_0188,entity_0334
edge_000457,entity_0143,entity_0020
edge_000458,entity_0420,entity_0499
edge_000459,entity_0500,entity_0001
edge_000460,entity_0079,entity_0477
edge_000461,entity_0305,entity_0247
edge_000462,entity_0454,entity_0138
edge_000463,entity_0170,entity_0041
edge_000464,entity_0259,entity_0325
edge_000465,entity_0396,entity_0220
edge_000466,entity_0311,entity_0477
edge_000467,entity_0052,entity_0496
edge_000468,entity_0260,entity_0191
edge_000469,entity_0200,entity_0006
edge_000470,entity_0139,entity_0133
edge_000471,entity_0154,entity_0474
edge_000472,entity_0013,entity_0063
edge_000473,entity_0376,entity_0354
edge_000474,entity_0098,entity_0185
edge_000475,entity_0082,entity_0077
edge_000476,entity_0410,entity_0059
edge_000477,entity_0188,entity_0191
edge_000478,entity_0158,entity_0089
edge_000479,entity_0489,entity_0235
edge_000480,entity_0249,entity_0196
edge_000481,entity_0357,entity_0016
edge_000482,entity_0451,entity_0444
edge_000483,entity_0312,entity_0220
edge_000484,entity_0293,entity_0325
edge_000485,entity_0195,entity_0126
edge_000486,entity_0332,entity_0423
edge_000487,entity_0211,entity_0339
edge_000488,entity_0274,entity_0001
edge_000489,entity_0296,entity_0496
edge_000490,entity_0418,entity_0034
edge_000491,entity_0301,entity_0248
edge_000492,entity_0027,entity_0239
edge_000493,entity_0281,entity_0020
edge_000494,entity_0004,entity_0457
edge_000495,entity_0437,entity_0191
edge_000496,entity_0113,entity_0385
edge_000497,entity_0049,entity_0257
edge_000498,entity_0002,entity_0115
edge_000499,entity_0090,entity_0016
edge_000500,entity_0240,entity_0070
edge_000501,entity_0112,entity_0220
edge_000502,entity_0399,entity_0199
edge_000503,entity_0431,entity_0253
edge_000504,entity_0017,entity_0156
edge_000505,entity_0404,entity_0162
edge_000506,entity_0014,entity_0016
edge_000507,entity_0456,entity_0214
edge_000508,entity_0426,entity_0248
edge_000509,entity_0494,entity_0441
edge_000510,entity_0025,entity_0248
edge_000511,entity_0446,entity_0220
edge_000512,entity_0265,entity_0273
edge_000513,entity_0213,entity_0229
edge_000514,entity_0391,entity_0438
edge_000515,entity_0152,entity_0440
edge_000516,entity_0212,entity_0479
edge_000517,entity_0491,entity_0464
edge_000518,entity_0279,entity_0286
edge_000519,entity_0386,entity_0126
edge_000520,entity_0387,entity_0253
edge_000521,entity_0044,entity_0499
edge_000522,entity_0010,entity_0041
edge_000523,entity_0072,entity_0203
edge_000524,entity_0307,entity_0439
edge_000525,entity_0102,entity_0273
edge_000526,entity_0231,entity_0220
edge_000527,entity_0106,entity_0077
edge_000528,entity_0105,entity_0089
edge_000529,entity_0399,entity_0277
edge_000530,entity_0225,entity_0196
edge_000531,entity_0381,entity_0257
edge_000532,entity_0180,entity_0353
edge_000533,entity_0336,entity_0438
edge_000534,entity_0073,entity_0372
edge_000535,entity_0051,entity_0001
edge_000536,entity_0104,entity_0235
edge_000537,entity_0292,entity_0373
edge_000538,entity_0242,entity_0468
edge_000539,entity_0317,entity_0352
edge_000540,entity_0021,entity_0003
edge_000541,entity_0190,entity_0089
edge_000542,entity_0215,entity_0191
edge_000543,entity_0085,entity_0203
edge_000544,entity_0145,entity_0479
edge_000545,entity_0216,entity_0467
edge_000546,entity_0232,entity_0331
edge_000547,entity_0091,entity_0417
edge_000548,entity_0397,entity_0133
edge_000549,entity_0271,entity_0464
edge_000550,entity_0476,entity_0016
edge_000551,entity_0108,entity_0441
edge_000552,entity_0369,entity_0199
edge_000553,entity_0498,entity_0131
edge_000554,entity_0493,entity_0479
edge_000555,entity_0448,entity_0138
edge_000556,entity_0379,entity_0076
edge_000557,entity_0332,entity_0066
edge_000558,entity_0290,entity_0252
edge_000559,entity_0035,entity_0220
edge_000560,entity_0271,entity_0126
edge_000561,entity_0135,entity_0248
edge_000562,entity_0362,entity_0488
edge_000563,entity_0094,entity_0034
edge_000564,entity_0361,entity_0427
edge_000565,entity_0250,entity_0465
edge_000566,entity_0269,entity_0003
edge_000567,entity_0148,entity_0457
edge_000568,entity_0406,entity_0162
edge_000569,entity_0223,entity_0483
edge_000570,entity_0207,entity_0248
edge_000571,entity_0018,entity_0016
edge_000572,entity_0327,entity_0214
edge_000573,entity_0167,entity_0465
edge_000574,entity_0432,entity_0220
edge_000575,entity_0163,entity_0110
edge_000576,entity_0197,entity_0398
edge_000577,entity_0282,entity_0401
edge_000578,entity_0251,entity_0467
edge_000579,entity_0312,entity_0156
edge_000580,entity_0057,entity_0413
edge_000581,entity_0278,entity_0054
edge_000582,entity_0487,entity_0257
edge_000583,entity_0108,entity_0077
edge_000584,entity_0313,entity_0372
edge_000585,entity_0098,entity_0177
edge_000586,entity_0125,entity_0220
edge_000587,entity_0395,entity_0050
edge_000588,entity_0222,entity_0483
edge_000589,entity_0067,entity_0050
edge_000590,entity_0340,entity_0235
edge_000591,entity_0414,entity_0060
edge_000592,entity_0329,entity_0162
edge_000593,entity_0238,entity_0076
edge_000594,entity_0306,entity_0050
